"isolate__autocolour","ST__autocolour","Serotype__autocolour","SRA__autocolour","Biosample__autocolour","benchmark_included__autocolour","stx_profile__autocolour","stx_count__autocolour","plasmid_profile__autocolour","plasmid_count__autocolour","ST_plot__autocolour","Serotype_plot__autocolour","plasmid_profile_plot__autocolour","stx_profile_plot__autocolour"
"GCF_016889545.1_ASM1688954v1","-","O75:H7",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016889565.1_ASM1688956v1","7941","-:H27",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016889605.1_ASM1688960v1","457","O11:H25",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016889625.1_ASM1688962v1","12","O4:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016889685.1_ASM1688968v1","141","O2:H6",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016889725.1_ASM1688972v1","14","O18:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016889845.1_ASM1688984v1","43","O5:H10",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016889865.1_ASM1688986v1","569","O46:H31",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016889905.1_ASM1688990v1","12","O21:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016890005.1_ASM1689000v1","93","O7:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016890045.1_ASM1689004v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016890105.1_ASM1689010v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016903275.1_ASM1690327v1","405","O102:H6",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016903315.1_ASM1690331v1","69","O15:H6",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016903335.1_ASM1690333v1","95","O18:H7",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016903375.1_ASM1690337v1","117","O24:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016903435.1_ASM1690343v1","95","O2/O50:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016903535.1_ASM1690353v1","491","O131:H45",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016903595.1_ASM1690359v1","405","O102:H6",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016903615.1_ASM1690361v1","95","O2/O50:H7",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016903815.1_ASM1690381v1","405","O102:H6",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016903835.1_ASM1690383v1","95","O18:H7",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016903855.1_ASM1690385v1","69","O15:H18",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016903915.1_ASM1690391v1","95","O2/O50:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016903935.1_ASM1690393v1","69","O77/O17/O44/O106:H18",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016903995.1_ASM1690399v1","10","-:H12",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016904055.1_ASM1690405v1","73","O6:H1",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016904075.1_ASM1690407v1","95","O18:H7",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016904115.1_ASM1690411v1","69","O117/O107:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016904175.1_ASM1690417v1","420","O46:H31",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016904195.1_ASM1690419v1","1231","-:H7",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016904235.1_ASM1690423v1","117","O114:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016904255.1_ASM1690425v1","405","O102:H6",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016904335.1_ASM1690433v1","405","O102:H6",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016904395.1_ASM1690439v1","398","O8:H20",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016904435.1_ASM1690443v1","95","O2/O50:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016904455.1_ASM1690445v1","95","O2/O50:H7",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016904475.1_ASM1690447v1","95","O1:H7",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016904495.1_ASM1690449v1","405","O102:H6",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016904535.1_ASM1690453v1","95","O18:H7",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016904555.1_ASM1690455v1","624","O25:H17",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016904575.1_ASM1690457v1","38","O86:H18",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016904615.1_ASM1690461v1","144","O16:H6",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016904655.1_ASM1690465v1","969","O6:H7",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016904695.1_ASM1690469v1","10","O9:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016939795.1_ASM1693979v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016942475.1_ASM1694247v1","10","O126:H2",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016942505.1_ASM1694250v1","654","O8:H49",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016942535.1_ASM1694253v1","278","-:H7",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016942575.1_ASM1694257v1","23","O53:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016942595.1_ASM1694259v1","1585","O141:H32",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016942615.1_ASM1694261v1","11225","O126:H26",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016942635.1_ASM1694263v1","648","O153:H30",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016942655.1_ASM1694265v1","156","-:H25",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016944635.1_ASM1694463v1","10","O9:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016944655.1_ASM1694465v1","48","O8:H18",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016944675.1_ASM1694467v1","69","O77/O17/O44/O106/O73:H18",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016944695.1_ASM1694469v1","165","O147:H40",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016944715.1_ASM1694471v1","3944","O9/O30:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016944735.1_ASM1694473v1","542","O128:H45",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016944755.1_ASM1694475v1","131","O16:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_016944775.1_ASM1694477v1","4014","O88:H31",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_017088405.1_ASM1708840v1","7087","-:H19",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_017088425.1_ASM1708842v1","1011","O86:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_017088445.1_ASM1708844v1","4088","-:H7",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_017088465.1_ASM1708846v1","2705","-:H10",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_017088485.1_ASM1708848v1","2325","O21:H25",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_017161035.1_ASM1716103v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_017161345.1_ASM1716134v1","206","-:H19",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_017164755.1_ASM1716475v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_017164775.1_ASM1716477v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_017164795.1_ASM1716479v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_017164815.1_ASM1716481v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_017164835.1_ASM1716483v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_017164855.1_ASM1716485v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_017164875.1_ASM1716487v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_017164895.1_ASM1716489v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_017164915.1_ASM1716491v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_017164935.1_ASM1716493v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_017164955.1_ASM1716495v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_017164975.1_ASM1716497v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_017164995.1_ASM1716499v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_017165015.1_ASM1716501v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_017165035.1_ASM1716503v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_017165055.1_ASM1716505v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_017165075.1_ASM1716507v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_017165095.1_ASM1716509v1","11","O157:H7","SRR15376141","SAMN16327599","yes","stx2a; stx2c",2,"25; 20",2,"11","O157:H7","25; 20","stx2a; stx2c"
"GCF_017165115.1_ASM1716511v1","11","O157:H7","SRR15376143","SAMN16327597","yes","stx2a; stx2c",2,"25; 20",2,"11","O157:H7","25; 20","stx2a; stx2c"
"GCF_017165135.1_ASM1716513v1","11","O157:H7","SRR15376142","SAMN16327598","yes","stx2a; stx2c",2,"25; 20",2,"11","O157:H7","25; 20","stx2a; stx2c"
"GCF_017165155.1_ASM1716515v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_017165215.1_ASM1716521v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_017165235.1_ASM1716523v1","11","O157:H7","SRR15376144","SAMN16327594","yes","stx2a; stx2c",2,"25; 20",2,"11","O157:H7","25; 20","stx2a; stx2c"
"GCF_017165255.1_ASM1716525v1","11","O157:H7","SRR15376146","SAMN16327593","yes","stx2a; stx2c",2,"25; 20",2,"11","O157:H7","25; 20","stx2a; stx2c"
"GCF_017165275.1_ASM1716527v1","11","O157:H7","SRR15376145","SAMN16327592","yes","stx2a; stx2c",2,"25; 20",2,"11","O157:H7","25; 20","stx2a; stx2c"
"GCF_017165295.1_ASM1716529v1","11","O157:H7","SRR15376147","SAMN16327591","yes","stx2a; stx2c",2,"25; 20",2,"11","O157:H7","25; 20","stx2a; stx2c"
"GCF_017165315.1_ASM1716531v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_017165335.1_ASM1716533v1","11","O157:H7","SRR15376149","SAMN16327590","yes","stx2a; stx2c",2,"25; 20",2,"11","O157:H7","25; 20","stx2a; stx2c"
"GCF_017165355.1_ASM1716535v1","11","O157:H7","SRR15376150","SAMN16327588","yes","stx2a; stx2c",2,"25; 20",2,"11","O157:H7","25; 20","stx2a; stx2c"
"GCF_017165375.1_ASM1716537v1","11","O157:H7","SRR15376152","SAMN16327586","yes","stx2a; stx2a",2,"25; 20",2,"11","O157:H7","25; 20","Other"
"GCF_017165395.1_ASM1716539v1","11","O157:H7","SRR15376151","SAMN16327587","yes","stx2a; stx2c",2,"25; 17; 2; 20",4,"11","O157:H7","Other","stx2a; stx2c"
"GCF_017165415.1_ASM1716541v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_017165435.1_ASM1716543v1","11","O157:H7","SRR15376153","SAMN16327584","yes","stx2a; stx2c",2,"25; 20",2,"11","O157:H7","25; 20","stx2a; stx2c"
"GCF_017165455.1_ASM1716545v1","11","O157:H7","SRR15376154","SAMN16327583","yes","stx2a; stx2c",2,"25; 17; 20",3,"11","O157:H7","Other","stx2a; stx2c"
"GCF_017310055.1_ASM1731005v1","10","-:H43",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_017310445.1_ASM1731044v1","648","O1:H6",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_017338715.1_ASM1733871v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_017348835.2_ASM1734883v2","799","O108:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_017352035.1_ASM1735203v1","393","O15:H1",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_017352055.1_ASM1735205v1","46","O9:H10",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_017352075.1_ASM1735207v1","58","O8:H25",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_017356665.1_ASM1735666v1","95","O2/O50:H7",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_017357505.1_ASM1735750v1","73","O6:H1",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_017357545.1_ASM1735754v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_017357565.1_ASM1735756v1","1294","O9:H30",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_017357765.1_ASM1735776v1","6507","O77/O17/O44/O106/O73:H18",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_017570585.1_ASM1757058v1","93","O7:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_017570605.1_ASM1757060v1","10","O89:H10",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_017570625.1_ASM1757062v1","10","O89:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_017570645.1_ASM1757064v1","162","O126:H45",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_017570685.1_ASM1757068v1","533","-:H20",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_017579865.1_ASM1757986v1","744","O89:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_017603565.1_ASM1760356v1","38","O2/O50:H30",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_017604265.1_ASM1760426v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_017638965.1_ASM1763896v1","11633","-:H7",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_017638985.1_ASM1763898v1","354","O153:H34",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_017639005.1_ASM1763900v1","457","O11:H25",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_017639025.1_ASM1763902v1","11280","O86:H21",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_017639045.1_ASM1763904v1","167","O89:H10",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_017639105.1_ASM1763910v1","215","O62:H12",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_017639125.1_ASM1763912v1","10","O89:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_017639145.1_ASM1763914v1","10","O89:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_017639165.1_ASM1763916v1","215","O62:H12",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_017639185.1_ASM1763918v1","1266","O123/O186:H34",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_017654165.1_ASM1765416v1","155","O153:H51",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_017743075.1_ASM1774307v1","448","O160/O8:H10",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_017815815.1_ASM1781581v1","1262","O2:H1",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_017868515.1_ASM1786851v1","6856","O176:H11",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_017900955.1_ASM1790095v1","998","O2:H6",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_017900975.1_ASM1790097v1","998","O2:H6",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_017900995.1_ASM1790099v1","998","O2:H6",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_017901015.1_ASM1790101v1","998","O2:H6",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_017903455.1_ASM1790345v1","48","-:H11",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018071945.1_ASM1807194v2","11325","O8:H33",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018075285.1_ASM1807528v1","410","-:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018075305.1_ASM1807530v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018075345.1_ASM1807534v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018085225.1_ASM1808522v1","6002","O128:H12",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018128405.1_ASM1812840v1","69","O77/O17/O44/O106/O73:H18",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018141125.1_ASM1814112v1","69","O77/O17/O44/O106:H18",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018141145.1_ASM1814114v1","3107","-:H12",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018141225.1_ASM1814122v1","117","-:H28",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018141245.1_ASM1814124v1","7153","O148:H30",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018141265.1_ASM1814126v1","2085","O111:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018199975.1_ASM1819997v1","162","O9:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018223665.1_ASM1822366v1","7616","O6:H34",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018255835.1_ASM1825583v1","761","O5:H32",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018279085.1_ASM1827908v1","156","-:H25",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018279125.1_ASM1827912v1","48","-:H20",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018279225.1_ASM1827922v1","1403","O89:H7",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018279585.1_ASM1827958v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018316615.1_ASM1831661v1","167","O89:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018343835.1_ASM1834383v1","998","O2:H6",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018361365.1_ASM1836136v1","167","O89:H21",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018394415.1_ASM1839441v1","117","-:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018415975.1_ASM1841597v1","448","O8:H8",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018415995.1_ASM1841599v1","602","-:H21",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018417715.1_ASM1841771v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018460065.1_ASM1846006v1","-","O81:H23",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018499805.2_ASM1849980v2","227","O9:H10",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018499845.2_ASM1849984v2","227","O9:H10",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018628815.1_ASM1862881v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018734065.1_ASM1873406v1","127","O6:H31",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018771465.1_ASM1877146v1","2851","O100:H18",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018771545.1_ASM1877154v1","167","O89:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018771585.1_ASM1877158v1","405","O102:H6",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018798845.1_ASM1879884v1","1193","O75:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018884065.1_ASM1888406v1","410","O8:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018884265.1_ASM1888426v1","94","O148:H28",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018884285.1_ASM1888428v1","58","O166:H27",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018884305.1_ASM1888430v1","223","O78:H18",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018884325.1_ASM1888432v1","10","O128:H12",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018884345.1_ASM1888434v1","173","O78:H12",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018884365.1_ASM1888436v1","2332","O71:H45",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018884385.1_ASM1888438v1","443","O115:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018884405.1_ASM1888440v1","4","O6:H16",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018884425.1_ASM1888442v1","278","O128:H7",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018884445.1_ASM1888444v1","2332","O153:H45",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018884465.1_ASM1888446v1","410","O75:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018884485.1_ASM1888448v1","4121","O80:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018884505.1_ASM1888450v1","1312","O25:H16",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018884525.1_ASM1888452v1","4","O6:H16",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018884545.1_ASM1888454v1","423","O8:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018884565.1_ASM1888456v1","2368","O114:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018884585.1_ASM1888458v1","88","O8:H19",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018966785.1_ASM1896678v1","2854","O8:H27",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018966845.1_ASM1896684v1","48","O79:H11",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018968645.1_ASM1896864v1","23","O78:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018972045.1_ASM1897204v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018972205.1_ASM1897220v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018972225.1_ASM1897222v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018972245.1_ASM1897224v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018972265.1_ASM1897226v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018986795.1_ASM1898679v1","5662","O158:H23",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018986815.1_ASM1898681v1","452","O170:H18",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018986835.1_ASM1898683v1","4496","O8:H28",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018988345.1_ASM1898834v1","10","O9:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_018988385.1_ASM1898838v1","167","O89:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_019086825.1_ASM1908682v1","354","O153:H34",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_019091005.1_ASM1909100v1","6198","O146:H10",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_019192625.2_ASM1919262v2","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_019211745.1_ASM1921174v1","196","O8:H7",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_019334385.1_ASM1933438v1","-","O7:-",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_019334645.1_ASM1933464v1","1060","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_019334665.1_ASM1933466v1","1060","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_019355455.1_ASM1935545v1","617","O89:H10",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
